nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
6;0.00000;1.00000000;78.114;562.16;48.98;2.59E-04;302.77;0.270;0.211;262.04;278.68;40.18;-7.4005;1181.50;0.0149;-1.37E-05;0.3009;0.2677;0.2818;31.7720;-2725.40;-8.4443;-5.3534E-09;2.7187E-06;-31.662;1.3043;-3.6078E-03;3.8243E-06;0.1980;-6.2648E-05;-3.7413E-07;49.888;0.489;71.950;1.2389;9.80
7;1.52384;1.00000000;92.141;591.79;41.09;3.16E-04;292.51;0.263;0.264;277.59;178.18;40.57;-5.1649;810.68;0.0105;-1.05E-05;0.3000;0.2711;0.2989;34.0770;-3037.90;-9.1635;1.0289E-11;2.7035E-06;83.703;0.5167;-1.4910E-03;1.9725E-06;0.1905;-1.2494E-04;-2.0583E-07;50.139;0.383;66.850;1.2456;6.00
8;0.99965;0.00000000;106.167;617.17;36.09;3.74E-04;284.63;0.262;0.304;288.15;178.20;40.98;-5.2585;830.65;0.0108;-1.06E-05;0.2889;0.2644;0.2921;36.2000;-3340.20;-9.7970;-1.1467E-11;2.5758E-06;102.111;0.5596;-1.5609E-03;2.0149E-06;0.1876;-1.4047E-04;-1.6241E-07;54.788;0.388;66.000;1.2680;6.30
8;3.11428;1.00000000;106.167;617.05;35.41;3.75E-04;283.11;0.259;0.325;298.15;225.30;40.86;-6.0517;924.60;0.0126;-1.19E-05;0.2787;0.2593;0.2724;34.6800;-3298.10;-9.2570;-4.3563E-10;2.4103E-06;70.916;0.8045;-2.1885E-03;2.5061E-06;0.1807;-1.0583E-04;-1.9774E-07;60.216;0.458;65.700;1.2780;7.00
8;2.86798;0.88352659;106.167;630.37;37.32;3.70E-04;286.94;0.263;0.310;290.37;247.98;40.87;-7.8805;1250.00;0.0161;-1.40E-05;0.2838;0.2608;0.2741;37.2410;-3457.30;-10.1260;9.0676E-11;2.6123E-06;56.460;0.9493;-2.4902E-03;2.6838E-06;0.1783;-9.3999E-05;-2.0048E-07;55.606;0.375;66.100;1.2544;8.26
8;3.11395;0.99984312;106.167;616.26;35.11;3.78E-04;280.87;0.259;0.320;298.15;286.41;40.87;-9.4655;1440.00;0.0199;-1.70E-05;0.2798;0.2600;0.2790;60.0530;-4015.90;-19.4410;8.2881E-03;-2.3647E-12;-11.035;1.5158;-3.9039E-03;3.9193E-06;0.1699;-5.9436E-05;-2.4763E-07;52.910;0.354;64.850;1.2743;6.22
9;2.91747;0.50902812;120.194;631.15;32.09;4.28E-04;281.48;0.261;0.338;317.04;177.14;41.25;-5.9339;963.84;0.0119;-1.11E-05;0.2824;0.2618;0.2900;-0.9234;-2955.80;7.1685;-2.5369E-02;1.4858E-05;124.621;0.6329;-1.7331E-03;2.2146E-06;0.1405;1.1144E-05;-1.5171E-07;57.201;0.363;63.800;1.3056;5.83
9;2.60013;0.42403274;120.194;640.15;29.38;4.70E-04;255.73;0.259;0.324;311.48;210.83;41.19;-6.4219;1017.50;0.0130;-1.18E-05;0.2557;0.2383;0.2720;46.9030;-3838.20;-14.1540;4.9305E-03;-1.3901E-13;137.140;0.4805;-1.2309E-03;1.6917E-06;0.1752;-7.7905E-05;-2.1148E-07;61.086;0.413;65.730;1.3441;7.75
9;2.59989;0.42396854;120.194;637.15;28.37;4.90E-04;245.29;0.262;0.322;311.48;177.61;41.20;-6.0674;1026.40;0.0117;-1.07E-05;0.2453;0.2280;0.2596;39.8910;-3604.20;-11.4660;3.5274E-03;7.3492E-14;142.787;0.4389;-1.1509E-03;1.6509E-06;0.1781;-8.7842E-05;-2.0494E-07;61.228;0.418;67.358;1.3610;6.53
9;2.34927;0.35684480;120.194;651.15;30.40;4.60E-04;261.29;0.258;0.293;313.71;192.35;41.23;-6.5421;1105.00;0.0125;-1.10E-05;0.2613;0.2396;0.2708;15.1140;-2982.10;-1.2619;-6.3248E-03;3.5155E-06;146.723;0.4192;-1.0498E-03;1.4927E-06;0.1752;-8.3190E-05;-1.9499E-07;60.553;0.415;65.340;1.2899;4.89
9;4.75060;1.00000000;120.194;637.36;31.27;4.33E-04;277.58;0.256;0.398;317.59;228.46;41.08;39.1922;-3560.5 ;-0.1373 ;1.52E-04;0.2777;0.2591;0.2798;37.6360;-3675.30;-10.1560;-1.0068E-10;2.4232E-06;83.637;0.8786;-2.3192E-03;2.5989E-06;0.1567;2.6396E-05;-2.1888E-07;60.070;0.365;60.700;1.2240;7.96
