nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
10;1.52132;1.00000000;128.174;748.35;40.51;4.13E-04;310.35;0.269;0.302;353.15;353.43;38.93;-10.3720;1857.20;0.0193;-1.40E-05;0.3062;0.2504;0.2730;34.9160;-3935.70;-9.0648;-2.0672E-09;1.5550E-06;-30.842;1.5362;-3.2492E-03;2.6568E-06;0.1278;5.2505E-05;-1.0551E-07;76.150;0.526;83.190;1.3896;4.66
11;2.95720;1.00000000;142.200;761.00;32.50;5.07E-04;280.47;0.260;0.346;362.59;307.73;39.35;-5.3837;1071.50;0.0092;-7.53E-06;0.6246;0.5077;0.6452;56.2050;-5256.30;-16.1950;8.1583E-11;3.0253E-06;55.527;1.1885;-2.5841E-03;2.2618E-06;0.1629;-4.3438E-05;-1.5236E-07;72.937;0.404;66.442;1.2634;4.94
11;2.73630;0.00000000;142.200;772.04;36.60;5.23E-04;271.89;0.298;0.348;365.37;242.67;39.44;-7.8389;1560.90;0.0132;-9.50E-06;0.6271;0.5078;0.6719;29.8900;-3953.50;-7.2253;2.1109E-11;8.9552E-07;114.585;0.7474;-1.6860E-03;1.6519E-06;0.1668;-5.8349E-05;-1.3391E-07;72.738;0.416;76.000;1.3300;4.11
12;3.99896;0.78967868;156.227;773.47;30.06;5.22E-04;299.86;0.244;0.443;378.15;355.16;39.61;-7.7715;1565.80;0.0131;-9.46E-06;0.2996;0.2440;0.2857;71.6140;-5939.40;-22.4790;6.7276E-03;2.3898E-07;294.400;-0.1423;3.2020E-04;0.0000E+00;0.1487;-2.5332E-05;-1.5972E-07;78.435;0.380;68.131;1.2222;2.65
12;4.45320;1.00000000;156.227;778.00;31.70;5.20E-04;300.44;0.255;0.420;377.04;370.15;39.59;-7.7180;1551.80;0.0130;-9.33E-06;0.3004;0.2461;0.3199;-1.7726;-3104.20;5.3361;-9.6632E-03;3.6806E-06;91.666;1.1970;-2.4347E-03;2.2033E-06;0.1464;-2.2778E-05;-1.5776E-07;73.396;0.349;72.399;1.3488;3.69
12;4.45311;0.99995516;156.227;777.00;31.70;5.20E-04;300.44;0.255;0.418;376.48;384.55;39.57;-7.6402;1536.40;0.0128;-9.27E-06;0.3004;0.2461;0.3191;-6.9795;-2948.80;7.4483;-1.1581E-02;4.3391E-06;-128.447;2.4458;-4.9011E-03;3.7744E-06;0.1449;-1.8413E-05;-1.6156E-07;73.779;0.355;72.295;1.3450;4.16
12;4.22604;0.89482286;156.227;777.78;30.06;5.22E-04;299.86;0.242;0.443;380.37;378.16;39.60;-7.9599;1606.10;0.0133;-9.56E-06;0.2996;0.2420;0.2857;71.1090;-5947.10;-22.2720;6.5823E-03;2.5956E-07;85.479;1.2629;-2.5774E-03;2.2677E-06;0.1467;-1.8664E-05;-1.6325E-07;78.869;0.380;68.265;1.2222;3.84
12;3.99500;0.78784419;156.227;792.00;31.00;5.17E-04;302.18;0.243;0.395;381.48;337.15;39.63;-7.8476;1604.70;0.0129;-9.02E-06;0.3022;0.2548;0.2857;19.0300;-3561.30;-3.5073;0.0000E+00;0.0000E+00;146.196;0.8527;-1.7289E-03;1.6316E-06;0.1490;-3.3106E-05;-1.4293E-07;74.595;0.380;65.935;1.2222;2.68
12;4.22595;0.89477727;156.227;770.60;30.06;5.22E-04;299.86;0.244;0.443;377.04;259.16;39.72;-7.6435;1538.60;0.0129;-9.40E-06;0.2940;0.2450;0.2857;31.1130;-4140.30;-7.5477;-6.4435E-04;1.5135E-06;294.192;-0.2434;6.5644E-04;0.0000E+00;0.1560;-4.9546E-05;-1.4137E-07;78.138;0.380;68.083;1.2222;3.29
12;3.99938;0.78987579;156.227;776.78;30.06;5.22E-04;299.86;0.243;0.443;379.82;280.82;39.72;-7.9164;1596.70;0.0133;-9.54E-06;0.2956;0.2430;0.2857;10.9720;-2895.40;-1.0004;0.0000E+00;0.0000E+00;311.152;-0.2860;7.0334E-04;0.0000E+00;0.1547;-4.4627E-05;-1.4286E-07;78.770;0.380;66.652;1.2222;3.57
12;4.22620;0.89489581;156.227;773.76;30.06;5.22E-04;299.86;0.243;0.443;378.71;269.16;39.72;-7.7842;1568.50;0.0131;-9.47E-06;0.2938;0.2440;0.2857;13.1860;-3074.30;-1.6825;0.0000E+00;0.0000E+00;302.181;-0.2626;6.7797E-04;0.0000E+00;0.1554;-4.7285E-05;-1.4193E-07;78.460;0.380;68.177;1.2222;3.66
