Name;eta_B_star;eta_B_star_norm
naphthalene;1.52132;1.00000000
2-methylnaphthalene;2.95720;1.00000000
1-methylnaphthalene;2.73630;0.00000000
1,5-dimethylnaphthalene;3.99896;0.78967868
2,7-dimethylnaphthalene;4.45320;1.00000000
2,6-dimethylnaphthalene;4.45311;0.99995516
2,3-dimethylnaphthalene;4.22604;0.89482286
1,8-dimethylnaphthalene;3.99500;0.78784419
1,6-dimethylnaphthalene;4.22595;0.89477727
1,4-dimethylnaphthalene;3.99938;0.78987579
1,3-dimethylnaphthalene;4.22620;0.89489581
1,7-dimethylnaphthalene;4.22618;0.89488669
1,2-dimethylnaphthalene;3.99848;0.78945710
2-ethylnaphthalene;2.51871;0.10430253
1-ethylnaphthalene;2.29344;0.00000000
1-isopropylnaphthalene;4.07972;0.50815594
2-isopropylnaphthalene;4.31297;0.57624733
2-methyl-1-ethylnaphthalene;3.55908;0.35616983
1-methyl-2-ethylnaphthalene;3.55886;0.35610774
2-methyl-3-ethylnaphthalene;3.79179;0.42410427
1-methyl-3-ethylnaphthalene;3.79133;0.42396890
1-methyl-4-ethylnaphthalene;3.55977;0.35637219
2-methyl-4-ethylnaphthalene;3.79171;0.42408171
1-methyl-5-ethylnaphthalene;3.55976;0.35636927
2-methyl-5-ethylnaphthalene;3.79187;0.42412838
2-methyl-6-ethylnaphthalene;4.02334;0.49169724
1-methyl-6-ethylnaphthalene;3.79121;0.42393467
1-methyl-7-ethylnaphthalene;3.79111;0.42390588
2-methyl-7-ethylnaphthalene;4.02294;0.49158086
2-methyl-8-ethylnaphthalene;3.79139;0.42398757
1-methyl-8-ethylnaphthalene;3.55680;0.35550432
2-propylnaphthalene;2.57015;0.06748125
1-propylnaphthalene;2.33898;0.00000000
1,2,6-trimethylnaphthalene;5.53088;0.93177811
1,4,6-trimethylnaphthalene;5.53146;0.93194726
1,2,3-trimethylnaphthalene;5.29919;0.86414412
2,3,6-trimethylnaphthalene;5.76458;1.00000000
1,2,4-trimethylnaphthalene;5.29924;0.86415826
1,2,5-trimethylnaphthalene;5.29905;0.86410277
1,6,7-trimethylnaphthalene;5.53143;0.93193931
1,2,7-trimethylnaphthalene;5.53036;0.93162713
1,2,8-trimethylnaphthalene;5.29577;0.86314630
1,3,5-trimethylnaphthalene;5.53155;0.93197564
1,3,6-trimethylnaphthalene;5.76333;0.99963693
1,3,8-trimethylnaphthalene;5.52602;0.93036138
1,4,5-trimethylnaphthalene;5.29582;0.86315936
1,3,7-trimethylnaphthalene;5.76317;0.99959081
1-butylnaphthalene;2.37976;0.00000000
2-butylnaphthalene;2.61518;0.04928366
1,7-diethylnaphthalene;3.32633;0.19815802
2,3-diethylnaphthalene;3.32672;0.19823847
1,4-diethylnaphthalene;3.09194;0.14908917
1,2-diethylnaphthalene;3.09120;0.14893500
1,6-diethylnaphthalene;3.32607;0.19810215
4,6-dimethyl-1-ethylnaphthalene;5.09754;0.56894749
2,4-dimethyl-1-ethylnaphthalene;4.86076;0.51937859
2,5-dimethyl-3-ethylnaphthalene;5.09836;0.56911738
1,2-dimethyl-4-ethylnaphthalene;4.86013;0.51924594
1,3-dimethyl-5-ethylnaphthalene;5.09814;0.56907286
1,4-dimethyl-5-ethylnaphthalene;4.85761;0.51871864
1,3-dimethyl-6-ethylnaphthalene;5.33141;0.61790555
1,4-dimethyl-6-ethylnaphthalene;5.09632;0.56869127
1,2-dimethyl-7-ethylnaphthalene;5.09599;0.56862208
2-isobutylnaphthalene;4.61984;0.46894442
1-isobutylnaphthalene;4.38673;0.42014316
2-methyl-1-isopropylnaphthalene;5.38983;0.63013631
2-methyl-1-propylnaphthalene;3.61908;0.25944172
3-methyl-2-isopropylnaphthalene;5.62665;0.67971093
3-methyl-2-propylnaphthalene;3.85678;0.30920238
1-methyl-2-propylnaphthalene;3.61941;0.25951032
1-methyl-3-isopropylnaphthalene;5.62852;0.68010253
1-methyl-4-isopropylnaphthalene;5.39040;0.63025442
1-methyl-6-isopropylnaphthalene;5.62769;0.67992941
1-methyl-7-isopropylnaphthalene;5.62809;0.68001332
2-methyl-8-isopropylnaphthalene;5.62474;0.67931176
2-sec-butylnaphthalene;3.85938;0.30974640
1-sec-butylnaphthalene;3.62147;0.25994326
2-tert-butylnaphthalene;7.15662;1.00000000
1-tert-butylnaphthalene;6.91699;0.94983497
1,3,5,8-tetramethylnaphthalene;6.86080;0.93807101
1,2,4,6-tetramethylnaphthalene;6.86401;0.93874475
1,2,3,6-tetramethylnaphthalene;6.86377;0.93869307
1,4,5,8-tetramethylnaphthalene;6.62262;0.88821084
1,2,3,4-tetramethylnaphthalene;6.39079;0.83967994
1,2,5,8-tetramethylnaphthalene;6.62560;0.88883492
1,2,4,7-tetramethylnaphthalene;6.86443;0.93883243
1,2,5,6-tetramethylnaphthalene;6.62693;0.88911308
1,4,6,7-tetramethylnaphthalene;6.86692;0.93935389
1,2,6,8-tetramethylnaphthalene;6.86008;0.93792057
1,2,4,8-tetramethylnaphthalene;6.62567;0.88884829
1,3,6,7-tetramethylnaphthalene;7.10406;0.98899579
2,3,6,7-tetramethylnaphthalene;7.10389;0.98896047
2-pentylnaphthalene;2.65173;1.00000000
1-pentylnaphthalene;2.41568;0.00000000
