Name;SMILES
naphthalene;C1=CC2=C(C=C1)C=CC=C2
2-methylnaphthalene;CC1=CC2=C(C=CC=C2)C=C1
1-methylnaphthalene;CC1=C2C=CC=CC2=CC=C1
1,5-dimethylnaphthalene;CC1=CC=CC2=C(C)C=CC=C12
2,7-dimethylnaphthalene;CC1=CC2=C(C=C1)C=CC(C)=C2
2,6-dimethylnaphthalene;CC1=CC2=C(C=C1)C=C(C)C=C2
2,3-dimethylnaphthalene;CC1=C(C)C=C2C=CC=CC2=C1
1,8-dimethylnaphthalene;CC1=CC=CC2=CC=CC(C)=C12
1,6-dimethylnaphthalene;CC1=CC2=C(C=C1)C(C)=CC=C2
1,4-dimethylnaphthalene;CC1=C2C=CC=CC2=C(C)C=C1
1,3-dimethylnaphthalene;CC1=CC2=C(C=CC=C2)C(C)=C1
1,7-dimethylnaphthalene;CC1=CC2=C(C=CC=C2C)C=C1
1,2-dimethylnaphthalene;CC1=C(C)C2=C(C=CC=C2)C=C1
2-ethylnaphthalene;CCC1=CC2=C(C=CC=C2)C=C1
1-ethylnaphthalene;CCC1=C2C=CC=CC2=CC=C1
1-isopropylnaphthalene;CC(C)C1=C2C=CC=CC2=CC=C1
2-isopropylnaphthalene;CC(C)C1=CC2=C(C=CC=C2)C=C1
2-methyl-1-ethylnaphthalene;CCC1=C2C=CC=CC2=CC=C1C
1-methyl-2-ethylnaphthalene;CCC1=C(C)C2=C(C=CC=C2)C=C1
2-methyl-3-ethylnaphthalene;CCC1=C(C)C=C2C=CC=CC2=C1
1-methyl-3-ethylnaphthalene;CCC1=CC2=C(C=CC=C2)C(C)=C1
1-methyl-4-ethylnaphthalene;CCC1=C2C=CC=CC2=C(C)C=C1
2-methyl-4-ethylnaphthalene;CCC1=C2C=CC=CC2=CC(C)=C1
1-methyl-5-ethylnaphthalene;CCC1=C2C=CC=C(C)C2=CC=C1
2-methyl-5-ethylnaphthalene;CCC1=C2C=CC(C)=CC2=CC=C1
2-methyl-6-ethylnaphthalene;CCC1=CC2=C(C=C1)C=C(C)C=C2
1-methyl-6-ethylnaphthalene;CCC1=CC2=C(C=C1)C(C)=CC=C2
1-methyl-7-ethylnaphthalene;CCC1=CC2=C(C=CC=C2C)C=C1
2-methyl-7-ethylnaphthalene;CCC1=CC2=C(C=CC(C)=C2)C=C1
2-methyl-8-ethylnaphthalene;CCC1=C2C=C(C)C=CC2=CC=C1
1-methyl-8-ethylnaphthalene;CCC1=C2C(C)=CC=CC2=CC=C1
2-propylnaphthalene;CCCC1=CC2=C(C=CC=C2)C=C1
1-propylnaphthalene;CCCC1=C2C=CC=CC2=CC=C1
1,2,6-trimethylnaphthalene;CC1=CC2=CC=C(C)C(C)=C2C=C1
1,4,6-trimethylnaphthalene;CC1=CC2=C(C=C1)C(C)=CC=C2C
1,2,3-trimethylnaphthalene;CC1=C(C)C(C)=C2C=CC=CC2=C1
2,3,6-trimethylnaphthalene;CC1=CC2=C(C=C1)C=C(C)C(C)=C2
