nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
9;1.63956;1.00000000;118.178;684.90;39.50;3.81E-04;310.18;0.264;0.309;323.15;221.74;40.38;-7.3304;1330.60;0.0126;-8.60E-06;0.3102;0.2612;0.3022;37.3580;-3733.70;-10.0400;6.3179E-11;2.2062E-06;87.077;0.6876;-1.7066E-03;1.8820E-06;0.1721;-7.4926E-05;-1.7688E-07;62.107;0.420;69.245;1.2434;8.60
10;1.67458;1.00000000;132.205;720.15;36.20;4.41E-04;299.78;0.267;0.328;344.26;237.40;40.61;-6.3710;1274.00;0.0105;-8.12E-06;0.2984;0.2575;0.2677;39.9170;-4132.00;-10.7800;1.9691E-10;2.0405E-06;154.318;0.3523;-7.7637E-04;1.0223E-06;0.1339;2.2092E-05;-1.1331E-07;59.455;0.308;64.027;1.2312;8.00
11;2.97938;0.00000000;146.232;722.13;30.76;4.93E-04;297.22;0.252;0.379;349.26;232.30;41.65;-6.6379;1332.00;0.0112;-8.85E-06;0.2969;0.2567;0.2857;18.4560;-3186.90;-3.3862;0.0000E+00;0.0000E+00;173.711;0.4299;-9.6141E-04;1.2443E-06;0.1596;-6.0467E-05;-1.5571E-07;67.563;0.380;63.371;1.2222;6.62
11;3.21935;1.00000000;146.232;721.27;30.76;4.93E-04;297.22;0.252;0.379;349.26;230.15;40.81;-6.5876;1322.30;0.0112;-8.81E-06;0.2969;0.2615;0.2857;18.4510;-3182.80;-3.3850;0.0000E+00;0.0000E+00;175.144;0.4201;-9.3775E-04;1.2187E-06;0.1597;-6.1002E-05;-1.5566E-07;67.478;0.380;63.344;1.2222;5.50
12;2.47658;0.00000000;160.259;735.44;27.73;5.49E-04;292.44;0.249;0.424;362.04;243.57;41.90;-8.2171;1633.90;0.0140;-1.04E-05;0.2922;0.2548;0.2857;18.9320;-3362.50;-3.5032;0.0000E+00;0.0000E+00;191.511;0.5107;-1.1421E-03;1.4161E-06;0.1548;-5.3123E-05;-1.5155E-07;71.022;0.380;62.015;1.2222;9.75
12;2.72111;1.00000000;160.259;739.79;27.73;5.49E-04;292.44;0.247;0.424;363.71;224.75;41.93;-8.4404;1679.20;0.0143;-1.05E-05;0.2922;0.2587;0.2857;18.9590;-3383.80;-3.5087;0.0000E+00;0.0000E+00;197.878;0.4684;-1.0400E-03;1.3210E-06;0.1561;-5.7166E-05;-1.4618E-07;71.481;0.380;62.143;1.2222;9.27
13;2.75601;1.00000000;174.286;752.45;25.13;6.05E-04;288.55;0.243;0.468;375.93;265.65;41.99;-9.8388;1954.30;0.0167;-1.18E-05;0.2883;0.2587;0.2857;59.1196;-5967.40;-16.5255;-2.0000E-03;3.7155E-06;208.657;0.5986;-1.3237E-03;1.5538E-06;0.1498;-4.3758E-05;-1.4856E-07;75.497;0.380;61.031;1.2222;11.16
13;2.50772;0.00000000;174.286;745.97;25.13;6.05E-04;288.55;0.245;0.468;372.59;254.84;41.91;-9.5337;1890.00;0.0163;-1.16E-05;0.2883;0.2546;0.2857;58.8474;-5948.10;-16.3552;-2.5000E-03;4.0061E-06;208.055;0.6009;-1.3449E-03;1.6031E-06;0.1505;-4.6388E-05;-1.4918E-07;74.786;0.380;60.847;1.2222;10.62
14;2.78897;1.00000000;188.313;764.18;22.87;6.61E-04;285.32;0.238;0.511;387.04;243.05;41.99;-11.0870;2205.00;0.0188;-1.28E-05;0.2851;0.2583;0.2857;19.8850;-3733.00;-3.7338;0.0000E+00;0.0000E+00;234.582;0.6267;-1.3916E-03;1.6398E-06;0.1484;-4.5157E-05;-1.3998E-07;79.473;0.380;60.117;1.2222;15.00
14;2.53678;0.00000000;188.313;756.75;22.87;6.61E-04;285.32;0.240;0.511;383.71;266.11;41.98;-10.7650;2134.60;0.0183;-1.27E-05;0.2851;0.2554;0.2857;19.8400;-3694.20;-3.7248;0.0000E+00;0.0000E+00;223.906;0.6964;-1.5564E-03;1.7870E-06;0.1467;-4.0044E-05;-1.4713E-07;78.627;0.380;59.912;1.2222;13.79
15;2.56296;0.00000000;202.340;767.60;20.91;7.17E-04;282.60;0.235;0.554;393.71;277.38;41.98;-11.9050;2366.20;0.0202;-1.36E-05;0.2824;0.2558;0.2857;20.2810;-3862.00;-3.8316;0.0000E+00;0.0000E+00;238.457;0.8007;-1.7843E-03;1.9770E-06;0.1432;-3.4032E-05;-1.4536E-07;82.518;0.380;59.165;1.2222;18.30
15;2.81294;1.00000000;202.340;774.92;20.91;7.17E-04;282.60;0.232;0.554;397.59;277.38;41.99;-12.2000;2432.80;0.0206;-1.37E-05;0.2824;0.2580;0.2857;20.3260;-3901.30;-3.8403;0.0000E+00;0.0000E+00;242.478;0.7754;-1.7117E-03;1.8916E-06;0.1434;-3.4076E-05;-1.4246E-07;83.379;0.380;59.362;1.2222;19.33
