Name;eta_B_star;eta_B_star_norm
indane;1.63956;1.00000000
1,2,3,4-tetrahydronaphthalene;1.67458;1.00000000
1-methyl-[1,2,3,4-tetrahydronaphthalene];2.97938;0.00000000
2-methyl-[1,2,3,4-tetrahydronaphthalene];3.21935;1.00000000
1-ethyl-[1,2,3,4-tetrahydronaphthalene];2.47658;0.00000000
2-ethyl-[1,2,3,4-tetrahydronaphthalene];2.72111;1.00000000
2-propyl-[1,2,3,4-tetrahydronaphthalene];2.75601;1.00000000
1-propyl-[1,2,3,4-tetrahydronaphthalene];2.50772;0.00000000
2-butyl-[1,2,3,4-tetrahydronaphthalene];2.78897;1.00000000
1-butyl-[1,2,3,4-tetrahydronaphthalene];2.53678;0.00000000
1-pentyl-[1,2,3,4-tetrahydronaphthalene];2.56296;0.00000000
2-pentyl-[1,2,3,4-tetrahydronaphthalene];2.81294;1.00000000
