nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
6;0.00000;0.00000000;84.161;553.54;40.75;3.08E-04;274.14;0.272;0.212;253.15;279.69;43.47;4.7423;-253.22;-0.0169;1.25E-05;0.2738;0.2741;0.2851;48.5530;-3087.40;-15.5210;7.3830E-03;6.3563E-12;-44.417;1.6016;-4.4676E-03;4.7582E-06;0.2561;-5.8750E-04;4.6875E-07;49.060;0.486;65.097;1.2553;20.00
6;3.37892;0.51408665;84.161;513.50;35.77;3.20E-04;263.83;0.267;0.231;255.93;150.65;44.78;-3.2728;485.73;0.0068;-9.55E-06;0.2634;0.2816;0.2857;15.9160;-1971.10;-2.8217;0.0000E+00;0.0000E+00;103.183;0.3995;-1.2371E-03;2.0749E-06;0.2037;-1.3839E-04;-3.2945E-07;41.463;0.380;57.726;1.2222;17.83
6;5.06373;0.77042179;84.161;514.04;39.36;3.19E-04;264.66;0.293;0.218;254.26;195.20;44.48;-9.8948;1312.10;0.0239;-2.38E-05;0.2642;0.2829;0.2857;15.8230;-1948.60;-2.7895;0.0000E+00;0.0000E+00;91.809;0.4485;-1.3612E-03;2.1407E-06;0.1975;-1.1787E-04;-3.4828E-07;40.712;0.380;60.006;1.2222;16.80
6;3.37795;0.51393856;84.161;525.83;35.77;3.20E-04;263.83;0.261;0.231;259.26;167.06;44.77;-4.5137;653.90;0.0098;-1.17E-05;0.2634;0.2735;0.2857;16.0380;-2024.00;-2.8522;0.0000E+00;0.0000E+00;101.261;0.4146;-1.2499E-03;2.0269E-06;0.2025;-1.2871E-04;-3.2301E-07;42.509;0.380;58.207;1.2222;17.83
6;3.67063;0.55846863;84.161;514.27;35.77;3.20E-04;263.83;0.267;0.231;255.93;167.06;44.53;-3.3780;499.65;0.0071;-9.75E-06;0.2634;0.2828;0.2857;15.9240;-1974.40;-2.8237;0.0000E+00;0.0000E+00;100.202;0.4258;-1.3090E-03;2.1332E-06;0.2023;-1.3075E-04;-3.3806E-07;41.528;0.380;57.756;1.2222;23.29
6;3.66966;0.55832056;84.161;509.64;35.77;3.20E-04;263.83;0.269;0.231;254.82;167.06;44.53;-2.6753;407.37;0.0053;-8.41E-06;0.2634;0.2862;0.2857;15.8770;-1954.60;-2.8119;0.0000E+00;0.0000E+00;99.670;0.4313;-1.3368E-03;2.1826E-06;0.2022;-1.3158E-04;-3.4440E-07;41.137;0.380;57.574;1.2222;23.29
6;1.17818;0.17925463;84.161;528.10;37.23;3.21E-04;263.00;0.271;0.256;260.37;130.40;44.62;-7.5677;1036.20;0.0177;-1.83E-05;0.2626;0.2767;0.2857;16.3010;-2075.70;-2.9106;0.0000E+00;0.0000E+00;109.503;0.3511;-1.0643E-03;1.8349E-06;0.2061;-1.4333E-04;-3.0309E-07;43.443;0.380;59.619;1.2222;25.21
6;3.45074;0.52501224;84.161;506.65;35.60;3.38E-04;249.74;0.285;0.259;255.29;160.22;44.73;-38.9550;4962.10;0.0989;-8.71E-05;0.2494;0.2676;0.2857;16.0990;-1987.90;-2.8650;0.0000E+00;0.0000E+00;101.589;0.4967;-1.5743E-03;2.5752E-06;0.2041;-1.3491E-04;-3.4958E-07;41.857;0.380;57.696;1.2222;18.77
6;4.10195;0.62409190;84.161;507.94;37.18;3.17E-04;266.33;0.278;0.248;254.26;142.95;44.72;-41.4980;5283.80;0.1053;-9.23E-05;0.2659;0.2893;0.2857;16.0240;-1974.30;-2.8425;0.0000E+00;0.0000E+00;110.756;0.4100;-1.2844E-03;2.1880E-06;0.2044;-1.4296E-04;-3.3297E-07;41.435;0.380;58.679;1.2222;14.94
6;2.77921;0.42284336;84.161;518.53;34.72;3.28E-04;257.37;0.263;0.260;258.71;170.58;44.72;-31.9170;4128.00;0.0795;-6.95E-05;0.2570;0.2734;0.2857;16.2260;-2042.70;-2.8991;0.0000E+00;0.0000E+00;101.926;0.4734;-1.4562E-03;2.3272E-06;0.2039;-1.2760E-04;-3.4132E-07;43.021;0.380;57.573;1.2222;16.71
6;1.80921;0.27526257;84.161;532.79;37.85;3.19E-04;264.66;0.272;0.230;245.93;130.73;43.68;-3.4533;566.73;0.0069;-9.14E-06;0.2639;0.2704;0.2828;32.4770;-2643.40;-8.7933;2.0749E-11;3.2158E-06;92.280;0.3976;-1.2966E-03;2.0816E-06;0.1775;-1.4222E-04;-2.9519E-07;44.379;0.397;61.630;1.2757;17.20
6;2.77966;0.42291125;84.161;505.80;34.72;3.28E-04;257.37;0.270;0.260;255.68;170.58;44.68;-37.2890;4752.40;0.0946;-8.36E-05;0.2275;0.2404;0.2674;16.0950;-1986.80;-2.8665;0.0000E+00;0.0000E+00;99.754;0.4943;-1.5556E-03;2.4988E-06;0.2036;-1.2973E-04;-3.5928E-07;41.913;0.380;57.075;1.2222;16.71
6;1.20367;0.18313309;84.161;520.15;36.12;3.29E-04;256.59;0.274;0.286;259.82;174.82;44.74;-34.6190;4466.80;0.0865;-7.53E-05;0.2562;0.2744;0.2857;16.4840;-2091.60;-2.9565;0.0000E+00;0.0000E+00;101.603;0.4827;-1.4796E-03;2.3397E-06;0.2041;-1.2504E-04;-3.4375E-07;43.908;0.380;58.936;1.2222;20.31
6;6.57268;1.00000000;84.161;504.34;36.64;3.26E-04;258.16;0.285;0.213;252.59;134.97;44.21;-41.3750;5258.60;0.1052;-9.25E-05;0.2586;0.2817;0.2857;15.7450;-1916.40;-2.7774;0.0000E+00;0.0000E+00;105.350;0.3883;-1.2299E-03;2.1389E-06;0.2039;-1.4747E-04;-3.2953E-07;40.296;0.380;57.844;1.2222;10.96
6;4.72957;0.71958096;84.161;520.06;35.56;3.21E-04;244.65;0.295;0.213;258.71;154.21;43.35;-29.6730;3856.20;0.0735;-6.41E-05;0.2501;0.2628;0.2857;15.9990;-2005.80;-2.8470;0.0000E+00;0.0000E+00;104.057;0.4449;-1.3747E-03;2.2680E-06;0.2044;-1.3522E-04;-3.2611E-07;42.291;0.380;56.954;1.2222;9.80
6;4.73014;0.71966674;84.161;510.40;35.22;3.21E-04;245.37;0.296;0.214;255.93;154.21;43.36;-33.1960;4265.40;0.0834;-7.34E-05;0.2501;0.2700;0.2857;15.9020;-1964.30;-2.8228;0.0000E+00;0.0000E+00;103.019;0.4556;-1.4317E-03;2.3721E-06;0.2042;-1.3718E-04;-3.3871E-07;41.467;0.380;56.582;1.2222;9.78
7;0.00000;0.00000000;98.188;604.30;38.40;3.59E-04;273.50;0.274;0.243;285.37;265.15;43.75;-4.0974;824.88;0.0065;-6.75E-06;0.2759;0.2720;0.2857;54.0860;-3610.90;-17.3310;7.5272E-03;1.7553E-12;104.892;0.4676;-1.2035E-03;1.6340E-06;0.1807;-7.1679E-05;-2.6395E-07;50.021;0.382;65.680;1.3080;16.37
7;3.33118;0.66769767;98.188;565.15;34.45;3.70E-04;265.37;0.271;0.266;274.82;219.26;43.65;-2.6989;434.72;0.0053;-7.52E-06;0.2668;0.2698;0.2857;36.3620;-3002.50;-10.0700;-1.0435E-09;3.3726E-06;59.555;0.9764;-2.8547E-03;3.4670E-06;0.1863;-9.1014E-05;-2.9048E-07;47.597;0.377;59.628;1.2352;22.85
7;3.61620;0.72482537;98.188;551.00;34.45;3.60E-04;272.74;0.271;0.274;270.37;139.45;43.59;-2.0304;320.82;0.0041;-6.95E-06;0.2727;0.2794;0.3140;35.4260;-2728.60;-10.4440;4.6608E-03;1.7565E-14;125.515;0.4126;-1.1871E-03;1.9820E-06;0.1929;-1.2438E-04;-2.6893E-07;45.520;0.363;57.453;1.2963;23.71
7;3.61538;0.72466199;98.188;553.00;34.45;3.60E-04;272.74;0.270;0.270;270.93;139.18;43.61;-2.0704;329.81;0.0041;-6.90E-06;0.2727;0.2805;0.3047;53.1910;-3312.10;-17.2770;8.3107E-03;5.0896E-14;127.401;0.3988;-1.1447E-03;1.9086E-06;0.1928;-1.2412E-04;-2.6641E-07;48.600;0.406;56.916;1.2642;23.71
7;3.33017;0.66749474;98.188;553.15;34.45;3.60E-04;272.74;0.270;0.270;270.93;155.58;43.58;-2.0719;330.39;0.0041;-6.90E-06;0.2727;0.2779;0.3098;36.8110;-2953.60;-10.2750;-4.6212E-12;3.6730E-06;122.808;0.4334;-1.2394E-03;2.0097E-06;0.1916;-1.1824E-04;-2.7322E-07;47.560;0.391;57.253;1.2830;22.85
7;4.98906;1.00000000;98.188;547.00;34.45;3.60E-04;272.74;0.273;0.272;268.71;203.36;43.57;-1.6801;267.61;0.0033;-6.45E-06;0.2728;0.2773;0.3016;58.1940;-3415.10;-19.2940;9.6704E-03;-2.4361E-15;110.201;0.5345;-1.5367E-03;2.3016E-06;0.1874;-9.9435E-05;-3.0315E-07;53.692;0.520;55.282;1.2168;21.02
7;1.16146;0.23280208;98.188;569.52;33.98;3.75E-04;262.53;0.268;0.272;277.04;134.71;43.67;-3.1046;548.40;0.0054;-6.97E-06;0.2622;0.2694;0.2777;36.3630;-3044.80;-10.0380;3.5007E-11;3.2347E-06;109.808;0.4131;-1.2645E-03;1.9260E-06;0.1937;-1.2239E-04;-2.5081E-07;49.239;0.391;56.983;1.2044;27.85
7;1.80307;0.36140447;98.188;572.19;34.71;3.68E-04;266.82;0.269;0.235;269.26;146.58;43.39;-1.9879;508.06;0.0012;-2.73E-06;0.3015;0.3054;0.3290;38.0960;-3073.80;-10.6840;-5.1766E-11;3.5282E-06;103.668;0.4622;-1.3973E-03;2.0550E-06;0.1682;-1.4187E-04;-1.5939E-07;49.419;0.415;63.100;1.3530;23.30
8;0.00000;0.00000000;112.215;647.20;35.50;4.10E-04;273.70;0.270;0.236;304.82;287.60;43.86;-1.5938;524.19;0.0006;-2.10E-06;0.2779;0.2710;0.2857;73.2250;-4454.10;-24.8250;1.3715E-02;-2.4083E-06;142.279;0.4431;-1.0698E-03;1.3763E-06;0.1696;-5.7526E-05;-2.2459E-07;53.858;0.380;62.374;1.2222;26.49
8;3.60599;0.53083068;112.215;598.15;29.38;4.60E-04;243.95;0.272;0.231;288.71;185.72;43.42;1.1289;-9.34;-0.0046;7.96E-07;0.2440;0.2453;0.2771;31.9150;-3025.30;-8.3613;5.7055E-12;1.9673E-06;103.345;0.7705;-2.2240E-03;2.8466E-06;0.1788;-9.4201E-05;-2.3166E-07;52.600;0.423;55.437;1.2167;25.98
8;4.97815;0.73282302;112.215;591.15;29.38;4.50E-04;249.37;0.269;0.233;285.93;239.66;43.39;1.6875;-95.74;-0.0058;1.62E-06;0.2494;0.2514;0.2776;33.1330;-3008.40;-8.8498;-4.3621E-10;2.3704E-06;45.883;1.2604;-3.5092E-03;3.9654E-06;0.1741;-7.4822E-05;-2.5922E-07;50.424;0.404;55.500;1.2153;25.09
8;3.32395;0.48931171;112.215;606.15;29.38;4.60E-04;243.95;0.268;0.232;292.04;223.16;43.46;0.6194;228.82;-0.0051;2.05E-06;0.2440;0.2436;0.2681;32.1640;-3072.80;-8.4344;6.8943E-10;1.9558E-06;73.911;1.0319;-2.8669E-03;3.3195E-06;0.1761;-8.0583E-05;-2.3919E-07;52.848;0.416;60.891;1.3037;24.04
8;3.32349;0.48924470;112.215;596.15;29.38;4.60E-04;243.95;0.273;0.238;288.15;184.99;43.40;1.1272;-12.52;-0.0045;7.04E-07;0.2440;0.2503;0.2658;31.9360;-2988.90;-8.4129;-6.9874E-11;2.1641E-06;106.382;0.7269;-2.1051E-03;2.7007E-06;0.1790;-9.4585E-05;-2.3349E-07;51.194;0.405;54.224;1.2017;24.04
8;3.60901;0.53127460;112.215;598.00;29.38;4.60E-04;243.95;0.272;0.234;288.71;183.07;43.42;-4.9313;817.72;0.0095;-9.77E-06;0.2440;0.2444;0.2780;32.4380;-3055.00;-8.5372;2.2892E-10;2.0099E-06;104.906;0.7595;-2.1970E-03;2.8318E-06;0.1791;-9.5043E-05;-2.3112E-07;52.970;0.426;58.130;1.2726;24.89
