Name;eta_B_star;eta_B_star_norm
cyclohexane;0.00000;0.00000000
1,trans-2-dimethylcyclobutane;3.37892;0.51408665
1,1-dimethylcyclobutane;5.06373;0.77042179
1,cis-2-dimethylcyclobutane;3.37795;0.51393856
1,cis-3-dimethylcyclobutane;3.67063;0.55846863
1,trans-3-dimethylcyclobutane;3.66966;0.55832056
ethylcyclobutane;1.17818;0.17925463
isopropylcyclopropane;3.45074;0.52501224
1-methyl-1-ethylcyclopropane;4.10195;0.62409190
1-methyl-cis-2-ethylcyclopropane;2.77921;0.42284336
methylcyclopentane;1.80921;0.27526257
1-methyl-trans-2-ethylcyclopropane;2.77966;0.42291125
propylcyclopropane;1.20367;0.18313309
1,1,2-trimethylcyclopropane;6.57268;1.00000000
1,cis-2,cis-3-trimethylcyclopropane;4.72957;0.71958096
1,cis-2,trans-3-trimethylcyclopropane;4.73014;0.71966674
cycloheptane;0.00000;0.00000000
cis-1,2-dimethylcyclopentane;3.33118;0.66769767
cis-1,3-dimethylcyclopentane;3.61620;0.72482537
trans-1,3-dimethylcyclopentane;3.61538;0.72466199
trans-1,2-dimethylcyclopentane;3.33017;0.66749474
1,1-dimethylcyclopentane;4.98906;1.00000000
ethylcyclopentane;1.16146;0.23280208
methylcyclohexane;1.80307;0.36140447
cyclooctane;0.00000;0.00000000
cis-1,4-dimethylcyclohexane;3.60599;0.53083068
1,1-dimethylcyclohexane;4.97815;0.73282302
cis-1,2-dimethylcyclohexane;3.32395;0.48931171
trans-1,2-dimethylcyclohexane;3.32349;0.48924470
trans-1,3-dimethylcyclohexane;3.60901;0.53127460
trans-1,4-dimethylcyclohexane;3.60923;0.53130830
cis-1,3-dimethylcyclohexane;3.60383;0.53051276
ethylcyclohexane;1.15750;0.17039307
isopropylcyclopentane;3.33054;0.49028175
1-methyl-1-ethylcyclopentane;3.95581;0.58232745
1-methyl-cis-2-ethylcyclopentane;2.68148;0.39473595
1-methyl-cis-3-ethylcyclopentane;2.96757;0.43685084
1-methyl-trans-2-ethylcyclopentane;2.68066;0.39461499
1-methyl-trans-3-ethylcyclopentane;2.96750;0.43684002
propylcyclopentane;1.16009;0.17077436
1,cis-2,trans-4-trimethylcyclopentane;5.13593;0.75604982
1,trans-2,cis-3-trimethylcyclopentane;4.85030;0.71400311
1,1,3-trimethylcyclopentane;6.79311;1.00000000
1,cis-2,trans-3-trimethylcyclopentane;4.84972;0.71391795
1,1,2-trimethylcyclopentane;6.33697;0.93285319
1,trans-2,cis-4-trimethylcyclopentane;5.13534;0.75596378
