Name;SMILES
cyclohexane;C1CCCCC1
1,trans-2-dimethylcyclobutane;C[C@@H]1CC[C@H]1C
1,1-dimethylcyclobutane;CC1(C)CCC1
1,cis-2-dimethylcyclobutane;C[C@@H]1CC[C@@H]1C
1,cis-3-dimethylcyclobutane;C[C@H]1C[C@@H](C)C1
1,trans-3-dimethylcyclobutane;CC1CC(C)C1
ethylcyclobutane;CCC1CCC1
isopropylcyclopropane;CC(C)C1CC1
1-methyl-1-ethylcyclopropane;CCC1(C)CC1
1-methyl-cis-2-ethylcyclopropane;CC[C@H]1C[C@H]1C
methylcyclopentane;CC1CCCC1
1-methyl-trans-2-ethylcyclopropane;"	CC[C@@H]1C[C@H]1C"
propylcyclopropane;CCCC1CC1
1,1,2-trimethylcyclopropane;CC1CC1(C)C
1,cis-2,cis-3-trimethylcyclopropane;CC1C(C1C)C
1,cis-2,trans-3-trimethylcyclopropane;CC1C(C)C1C
cycloheptane;C1CCCCCC1
cis-1,2-dimethylcyclopentane;C[C@@H]1CCC[C@@H]1C
cis-1,3-dimethylcyclopentane;C[C@@H]1CC[C@@H](C1)C
trans-1,3-dimethylcyclopentane;C[C@@H]1CC[C@H](C1)C
trans-1,2-dimethylcyclopentane;C[C@@H]1CCC[C@H]1C
1,1-dimethylcyclopentane;CC1(C)CCCC1
ethylcyclopentane;CCC1CCCC1
methylcyclohexane;CC1CCCCC1
cyclooctane;C1CCCCCCC1
cis-1,4-dimethylcyclohexane;C[C@H]1CC[C@@H](C)CC1
1,1-dimethylcyclohexane;CC1(C)CCCCC1
cis-1,2-dimethylcyclohexane;C[C@@H]1CCCC[C@@H]1C
trans-1,2-dimethylcyclohexane;C[C@@H]1CCCC[C@H]1C
trans-1,3-dimethylcyclohexane;C[C@@H]1CCC[C@H](C1)C
trans-1,4-dimethylcyclohexane;C[C@H]1CC[C@@H](CC1)C
cis-1,3-dimethylcyclohexane;C[C@@H]1CCC[C@@H](C1)C
ethylcyclohexane;CCC1CCCCC1
isopropylcyclopentane;CC(C)C1CCCC1
1-methyl-1-ethylcyclopentane;CCC1(C)CCCC1
1-methyl-cis-2-ethylcyclopentane;CC[C@@H]1CCC[C@@H]1C
1-methyl-cis-3-ethylcyclopentane;CC[C@H]1CC[C@@H](C)C1
1-methyl-trans-2-ethylcyclopentane;CC[C@H]1CCC[C@@H]1C
1-methyl-trans-3-ethylcyclopentane;CC[C@H]1CC[C@H](C)C1
propylcyclopentane;CCCC1CCCC1
1,cis-2,trans-4-trimethylcyclopentane;C[C@@H]1CC(C[C@@H]1C)C
1,trans-2,cis-3-trimethylcyclopentane;C[C@H]1CC[C@@H](C)[C@@H]1C
1,1,3-trimethylcyclopentane;CC1CCC(C)(C)C1
1,cis-2,trans-3-trimethylcyclopentane;C[C@@H]1CC[C@@H](C)C1C
1,1,2-trimethylcyclopentane;CC1CCCC1(C)C
1,trans-2,cis-4-trimethylcyclopentane;CC1C[C@@H](C)[C@H](C)C1
1,cis-2,cis-3-trimethylcyclopentane;C[C@H]1CC[C@@H](C)[C@H]1C
1,cis-2,cis-4-trimethylcyclopentane;C[C@H]1C[C@@H](C)[C@@H](C)C1
cyclononane;C1CCCCCCCC1
tert-butylcyclopentane;CC(C)(C)C1CCCC1
butylcyclopentane;CCCCC1CCCC1
sec-butylcyclopentane;CCC(C)C1CCCC1
