nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
10;1.89960;1.00000000;138.253;702.25;32.42;4.80E-04;288.03;0.267;0.294;330.93;230.20;42.69;-3.9921;1021.00;0.0050;-4.51E-06;0.2890;0.2661;0.2872;45.6340;-4210.00;-12.8810;-7.8083E-11;2.8637E-06;140.152;0.9253;-2.2387E-03;2.3877E-06;0.1238;6.1530E-06;-1.3501E-07;64.211;0.434;64.760;1.2950;30.83
10;1.89578;0.00000000;138.253;687.05;28.37;4.80E-04;288.03;0.238;0.254;330.93;242.79;42.61;-2.4871;724.32;0.0020;-2.70E-06;0.2868;0.2699;0.2952;76.1000;-5030.00;-25.0780;9.7608E-03;-2.5814E-13;108.262;0.9578;-2.3377E-03;2.4579E-06;0.1219;1.6000E-05;-1.4817E-07;52.979;0.285;61.470;1.2970;30.83
11;3.33757;0.00311434;152.280;752.51;26.38;5.33E-04;286.24;0.224;0.331;364.26;225.04;42.59;-8.6494;1846.90;0.0135;-9.30E-06;0.2500;0.2323;0.2630;18.6320;-3261.70;-3.4769;0.0000E+00;0.0000E+00;195.918;0.3939;-8.3874E-04;1.0832E-06;0.1578;-5.9210E-05;-1.3984E-07;68.989;0.380;59.756;1.2222;24.11
11;3.60415;0.26071273;152.280;713.14;26.38;5.33E-04;286.24;0.237;0.331;346.48;225.04;42.68;-6.2185;1386.10;0.0093;-7.22E-06;0.2528;0.2401;0.2700;18.3870;-3078.00;-3.4257;0.0000E+00;0.0000E+00;186.350;0.4507;-1.0190E-03;1.3335E-06;0.1572;-6.1073E-05;-1.5616E-07;65.211;0.380;58.642;1.2222;25.03
11;4.36920;1.00000000;152.280;711.69;26.38;5.33E-04;286.24;0.237;0.331;345.93;225.04;42.59;-6.1131;1367.00;0.0091;-7.11E-06;0.3298;0.3023;0.3403;18.3770;-3071.20;-3.4237;0.0000E+00;0.0000E+00;185.965;0.4531;-1.0267E-03;1.3443E-06;0.1572;-6.1142E-05;-1.5682E-07;65.071;0.380;58.600;1.2222;22.88
11;3.33435;0.00000000;152.280;740.84;26.38;5.33E-04;286.24;0.228;0.331;358.71;237.65;42.59;-8.0031;1720.30;0.0124;-8.80E-06;0.2860;0.2676;0.2857;18.5610;-3207.30;-3.4623;0.0000E+00;0.0000E+00;190.982;0.4250;-9.2118E-04;1.1739E-06;0.1568;-5.7056E-05;-1.4668E-07;67.868;0.380;59.430;1.2222;24.11
11;4.36809;0.99892412;152.280;697.11;26.38;5.33E-04;286.24;0.242;0.331;339.26;237.65;42.59;-4.9829;1165.80;0.0070;-5.95E-06;0.2860;0.2656;0.2857;18.2810;-3003.20;-3.4033;0.0000E+00;0.0000E+00;179.896;0.4934;-1.1412E-03;1.4761E-06;0.1561;-5.8693E-05;-1.6651E-07;63.674;0.380;58.177;1.2222;23.07
11;3.60803;0.26446470;152.280;701.48;26.38;5.33E-04;286.24;0.241;0.331;341.48;237.65;42.70;-5.3372;1228.20;0.0077;-6.32E-06;0.2860;0.2637;0.2857;18.3100;-3023.60;-3.4095;0.0000E+00;0.0000E+00;180.486;0.4898;-1.1269E-03;1.4549E-06;0.1562;-5.8536E-05;-1.6435E-07;64.093;0.380;58.305;1.2222;24.69
12;1.92053;0.00000000;166.307;727.00;25.60;5.98E-04;278.11;0.253;0.428;347.04;276.78;42.48;-14.0180;2542.50;0.0252;-1.73E-05;0.2781;0.2619;0.2813;43.7150;-4473.70;-12.0820;1.0564E-10;2.4453E-06;177.957;0.6274;-1.4221E-03;1.6754E-06;0.1509;-4.2952E-05;-1.6327E-07;68.541;0.354;62.810;1.2676;47.00
12;5.82455;1.00000000;166.307;697.05;23.20;5.88E-04;283.32;0.235;0.349;344.26;232.55;42.59;-5.2347;1235.00;0.0073;-6.07E-06;0.2831;0.2719;0.2857;18.4220;-3051.90;-3.4477;0.0000E+00;0.0000E+00;198.959;0.5513;-1.2891E-03;1.6496E-06;0.1521;-5.5959E-05;-1.6408E-07;67.025;0.380;55.702;1.2222;17.50
12;2.74336;0.21076372;166.307;762.49;23.96;5.89E-04;282.84;0.222;0.374;374.23;217.51;42.59;-10.0150;2110.10;0.0158;-1.06E-05;0.2826;0.2785;0.2857;19.0950;-3424.10;-3.5908;0.0000E+00;0.0000E+00;217.670;0.4477;-9.5326E-04;1.1825E-06;0.1368;-5.2587E-05;-1.3769E-07;74.317;0.380;58.607;1.2222;26.18
