Name;eta_B_star;eta_B_star_norm
cis-decahydronaphthalene;1.89960;1.00000000
trans-decahydronaphthalene;1.89578;0.00000000
1-methyl-cis-decahydronaphthalene;3.33757;0.00311434
2-methyl-cis-decahydronaphthalene;3.60415;0.26071273
4a-methyl-cis-decahydronaphthalene;4.36920;1.00000000
1-methyl-trans-decahydronaphthalene;3.33435;0.00000000
4a-methyl-trans-decahydronaphthalene;4.36809;0.99892412
2-methyl-trans-decahydronaphthalene;3.60803;0.26446470
bicyclohexyl;1.92053;0.00000000
1,4a-dimethyl-trans-decahydronaphthalene;5.82455;1.00000000
1-ethyl-cis-decahydronaphthalene;2.74336;0.21076372
4a-ethyl-cis-decahydronaphthalene;3.42018;0.38412837
2-ethyl-cis-decahydronaphthalene;3.01337;0.27992615
1-ethyl-trans-decahydronaphthalene;2.74521;0.21123915
2-ethyl-trans-decahydronaphthalene;3.00910;0.27883178
dicyclohexylmethane;2.20101;1.00000000
1,1-dicyclohexylethane;3.38279;1.00000000
1,1-dicyclohexylpropane;2.77554;1.00000000
