Name;SMILES
cis-decahydronaphthalene;C1CC[C@@H]2CCCC[C@@H]2C1
trans-decahydronaphthalene;C1CC[C@H]2CCCC[C@@H]2C1
1-methyl-cis-decahydronaphthalene;CC1CCC[C@@H]2CCCC[C@H]12
2-methyl-cis-decahydronaphthalene;CC1CC[C@@H]2CCCC[C@@H]2C1
4a-methyl-cis-decahydronaphthalene;C1CCC[C@]2(CCCC[C@@H]12)C
1-methyl-trans-decahydronaphthalene;CC1CCC[C@H]2CCCC[C@H]12
4a-methyl-trans-decahydronaphthalene;C[C@]12CCCC[C@H]2CCCC1
2-methyl-trans-decahydronaphthalene;C[C@H]1CC[C@H]2CCCC[C@@H]2C1
bicyclohexyl;C1CCC(CC1)C2CCCCC2
1,4a-dimethyl-trans-decahydronaphthalene;CC1CCCC2(C1CCCC2)C
1-ethyl-cis-decahydronaphthalene;CCC1CCC[C@H]2CCCC[C@@H]12
4a-ethyl-cis-decahydronaphthalene;CCC12CCCCC1CCCC2
2-ethyl-cis-decahydronaphthalene;CCC1CC[C@@H]2CCCC[C@@H]2C1
1-ethyl-trans-decahydronaphthalene;CCC1CCCC2CCCCC12
2-ethyl-trans-decahydronaphthalene;CCC1CCC2CCCCC2C1
dicyclohexylmethane;C1CCC(CC1)CC2CCCCC2
1,1-dicyclohexylethane;CC(C1CCCCC1)C2CCCCC2
1,1-dicyclohexylpropane;CCC(C1CCCCC1)C2CCCCC2
