nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
7;5.44459;0.55796085;100.204;536.4;29.46;0.000414;242.04;0.273;0.267;268.15;138.7;44.46;-4.1595;577.93;0.0094;-1.15e-05;0.2479;0.2701;0.3084;30.257;-2631.3;-7.9839;4.6848e-13;2.717e-06;118.692;0.6025;-0.001934;3.0327e-06;0.1932;-0.00012575;-2.879e-07;45.35;0.381;51.57;1.2257;19.32
7;6.57163;0.70845524;100.204;520.5;27.73;0.000416;240.88;0.267;0.288;264.82;149.34;44.45;-0.1129;39.65;-0.0005;-4.05e-06;0.2451;0.2767;0.283;6.2875;-2168.2;2.6936;-0.015525;1.0917e-05;115.052;0.6577;-0.0021698;3.3303e-06;0.194;-0.00012397;-3.1778e-07;44.802;0.377;49.26;1.215;23.24
7;5.36316;0.5470876;100.204;519.79;27.37;0.000418;239.72;0.265;0.302;260.93;153.91;44.48;0.478;-34.54;-0.0019;-2.92e-06;0.2396;0.2753;0.2695;35.944;-2846;-9.9938;8.0693e-11;3.6419e-06;118.526;0.7006;-0.0023161;3.4981e-06;0.1709;-0.00012176;-3.2446e-07;46.86;0.397;49.068;1.2002;28.7
7;4.34311;0.41087939;100.204;537.35;29.08;0.000393;254.97;0.256;0.292;269.82;138.15;44.55;-4.079;571.99;0.0092;-1.14e-05;0.2532;0.2861;0.2713;39.774;-2905;-12.012;0.0051334;-2.3807e-14;85.488;0.9323;-0.0028826;3.7624e-06;0.1948;-0.00012543;-2.915e-07;46.866;0.382;51.376;1.199;21.9
7;1.26607;0;100.204;540.64;28.91;0.000416;240.88;0.268;0.309;272.04;154.55;44.59;-4.4402;625.16;0.0101;-1.21e-05;0.2426;0.2644;0.2914;8.5463;-2297.9;1.5503;-0.012233;8.267e-06;116.451;0.7099;-0.0022627;3.3492e-06;0.2752;-0.00074841;6.764e-07;47.325;0.373;53.47;1.2315;34.1
7;1.97411;0.09454483;100.204;535.25;28.14;0.000404;248.03;0.255;0.322;269.26;153.75;44.57;-24.443;2944.9;0.0658;-6.21e-05;0.2451;0.2806;0.2625;35.254;-2931;-9.6667;-5.2026e-11;3.2107e-06;142.593;0.5408;-0.0016598;2.5999e-06;0.1953;-0.000119;-3.0724e-07;48.924;0.393;51.385;1.2024;42
7;2.67848;0.18860083;100.204;530.37;27.34;0.000421;238.01;0.261;0.328;269.26;154.9;44.54;-7.2033;979.69;0.017;-1.79e-05;0.2379;0.2697;0.279;54.108;-3378.5;-17.547;0.0082594;-3.4967e-14;118.184;0.7128;-0.0023129;3.4493e-06;0.2384;-0.00056464;4.4364e-07;49.917;0.408;50.354;1.1933;43.5
7;8.75498;1;100.204;531.17;29.5;0.000398;251.77;0.266;0.25;265.37;248.57;44.46;0.3971;167.99;-0.0044;9.43e-07;0.2494;0.2792;0.28;32.363;-2661.4;-8.7743;-7.687e-10;3.2006e-06;0.826;1.7037;-0.005065;5.8856e-06;0.1531;-7.3384e-05;-3.5659e-07;43.6;0.372;51.54;1.212;12.9
8;3.59726;0.21432769;114.231;568.8;26.9;0.000466;245.13;0.265;0.338;284.82;150.93;44.37;-6.8074;985.01;0.0152;-1.52e-05;0.2418;0.2658;0.2676;38.612;-3268.5;-10.752;3.6386e-09;3.2771e-06;161.2;0.5348;-0.0015646;2.4208e-06;0.1942;-0.00014858;-2.1088e-07;51.624;0.377;52.345;1.2166;26.42
8;5.38636;0.37772813;114.231;562;26.5;0.000443;258.44;0.251;0.32;282.04;147.05;44.4;-3.9015;628.72;0.0076;-9.08e-06;0.2551;0.2901;0.2568;38.071;-3173.6;-10.617;6.309e-11;3.3817e-06;162.481;0.6049;-0.0018604;2.7473e-06;0.1847;-0.00010941;-2.6092e-07;51.708;0.398;49.385;1.184;26.21
8;5.30041;0.36987796;114.231;550;24.9;0.000482;236.99;0.262;0.358;280.37;182;44.37;-4.4617;688.25;0.0094;-1.1e-05;0.2358;0.2633;0.2782;40.026;-3264.7;-11.282;-6.5408e-10;3.62e-06;117.48;1.0073;-0.0031157;4.2149e-06;0.1627;-9.6171e-05;-2.9727e-07;52.445;0.397;48.65;1.1851;34.77
8;6.50074;0.47950538;114.231;549.8;25.3;0.000478;238.98;0.265;0.338;278.71;151.97;44.36;-3.6086;621.34;0.0066;-8.28e-06;0.2367;0.2639;0.2777;38.767;-3184.1;-10.857;1.9275e-12;3.4797e-06;154.829;0.645;-0.0019537;3.0096e-06;0.2065;-0.00038225;1.9267e-07;52.211;0.407;48.36;1.1855;32.78
8;4.29215;0.27779297;114.231;563.4;26.3;0.000468;244.08;0.263;0.347;278.71;149.42;44.45;-6.5588;957.43;0.0145;-1.48e-05;0.2419;0.2682;0.2695;57.378;-3714.3;-18.599;0.0082907;-2.8441e-12;160.645;0.5653;-0.0016703;2.5708e-06;0.1858;-0.00010797;-2.644e-07;51.6;0.377;50.276;1.1887;27.94
8;4.60266;0.30615203;114.231;553.5;25.6;0.000472;242.01;0.263;0.344;283.15;149.42;44.41;-4.2728;724.48;0.0083;-9.72e-06;0.2472;0.2728;0.2985;56.288;-3622.5;-18.225;0.0081864;8.7232e-12;156.684;0.6364;-0.0018979;2.9478e-06;0.186;-0.00010941;-2.7487e-07;50.874;0.382;49.322;1.1933;33.84
8;3.59514;0.21413401;114.231;567;27.1;0.000445;256.7;0.256;0.361;283.71;158.2;44.46;-11.243;1516.9;0.0266;-2.46e-05;0.2348;0.254;0.2857;70.521;-4006.2;-24.167;0.014484;-2.5304e-06;223.04;-0.1808;0.00084029;0;0.2377;-0.00055837;4.4188e-07;51.179;0.38;52.428;1.2222;24.43
8;1.25055;0;114.231;565.4;26.1;0.000455;251.06;0.253;0.363;285.37;154.69;44.36;-10.634;1469.5;0.0247;-2.3e-05;0.248;0.2773;0.2657;40.208;-3365.1;-11.285;-5.418e-09;3.4199e-06;160.133;0.6469;-0.0018763;2.7299e-06;0.1959;-0.00015007;-2.1671e-07;52.754;0.38;53.2;1.2355;36.06
8;4.26948;0.27572216;114.231;576.5;28.1;0.000455;251.06;0.267;0.305;285.37;182.28;44.44;-4.4944;709.74;0.0092;-1.03e-05;0.251;0.2725;0.2817;35.252;-3087.1;-9.6172;-2.3414e-11;2.9375e-06;157.094;0.586;-0.0016436;2.437e-06;0.1806;-9.536e-05;-2.5702e-07;50.35;0.377;51.235;1.191;18.21
8;2.64824;0.12765281;114.231;559.64;24.85;0.000488;234.08;0.261;0.377;284.82;164.16;44.43;-4.8603;715.64;0.0108;-1.23e-05;0.2318;0.259;0.2713;37.693;-3261.1;-10.391;-1.0524e-12;3.056e-06;134.965;0.8146;-0.0025182;3.5416e-06;0.1692;-0.00010209;-2.8141e-07;59.503;0.481;50.283;1.2017;52.6
8;1.95047;0.06392428;114.231;561.74;25.42;0.000476;239.98;0.259;0.371;284.82;152.2;44.46;-4.8435;708.87;0.0108;-1.23e-05;0.2394;0.2588;0.2832;40.208;-3366.1;-11.279;-8.7855e-11;3.4055e-06;143.202;0.7557;-0.0023377;3.4039e-06;0.1871;-0.00010669;-2.7192e-07;54.857;0.405;50.767;1.1962;41.67
8;1.9489;0.06378099;114.231;563.67;25.46;0.000464;246.19;0.252;0.372;285.93;152.6;44.45;-4.7395;698.67;0.0105;-1.2e-05;0.2446;0.2744;0.2713;52.883;-3623.1;-16.804;0.0071828;7.4077e-14;148.156;0.6756;-0.0020742;3.0104e-06;0.2322;-0.00049229;3.5031e-07;55.167;0.406;54.07;1.272;43.73
8;12.19972;1;114.231;567.8;28.7;0.000462;247.79;0.28;0.251;278.71;174.96;44.29;-5.3965;891.41;0.0105;-1.08e-05;0.2474;0.28;0.2857;58.2272;-4326.9;-17.2776;4.9512e-09;4.0787e-06;236.692;-0.1856;0.00082075;0;0.153;1.797e-05;-3.8866e-07;47.805;0.38;50.241;1.2222;8.17
