Name;eta_B_star;eta_B_star_norm
3,3-dimethylpentane;5.44459;0.55796
2,2-dimethylpentane;6.57163;0.70846
2,4-dimethylpentane;5.36316;0.54709
2,3-dimethylpentane;4.34311;0.41088
3-ethylpentane;1.26607;0.00000
3-methylhexane;1.97411;0.09454
2-methylhexane;2.67848;0.18860
2,2,3-trimethylbutane;8.75498;1.00000
3,4-dimethylhexane;3.59726;0.21433
3,3-dimethylhexane;5.38636;0.37773
2,5-dimethylhexane;5.30041;0.36988
2,2-dimethylhexane;6.50074;0.47951
2,3-dimethylhexane;4.29215;0.27779
2,4-dimethylhexane;4.60266;0.30615
3-ethyl-2-methylpentane;3.59514;0.21413
3-ethylhexane;1.25055;0.00000
3-methyl-3-ethylpentane;4.26948;0.27572
2-methylheptane;2.64824;0.12765
4-methylheptane;1.95047;0.06392
3-methylheptane;1.94890;0.06378
2,2,3,3-tetramethylbutane;12.19972;1.00000
2,2,3-trimethylpentane;7.95816;0.61261
2,3,3-trimethylpentane;7.54367;0.57476
2,3,4-trimethylpentane;6.64024;0.49225
2,2,4-trimethylpentane;9.15110;0.72157
3,3-diethylpentane;3.12610;0.16202
2,2-dimethyl-3-ethylpentane;7.20099;0.51205
2,4-dimethyl-3-ethylpentane;5.88422;0.39894
2,3-dimethyl-3-ethylpentane;6.36982;0.44065
2,5-dimethylheptane;4.56302;0.28545
2,6-dimethylheptane;5.25628;0.34500
3,4-dimethylheptane;3.56209;0.19947
3,5-dimethylheptane;3.87194;0.22608
2,3-dimethylheptane;4.25792;0.25924
2,4-dimethylheptane;4.56226;0.28538
4,4-dimethylheptane;5.33782;0.35200
2,2-dimethylheptane;6.44225;0.44688
3-ethyl-2-methylhexane;3.56359;0.19960
4-ethyl-2-methylhexane;3.87170;0.22606
3-ethyl-3-methylhexane;4.23281;0.25708
3-ethyl-4-methylhexane;2.87240;0.14022
4-ethylheptane;1.24002;0.00000
3-ethylheptane;1.24016;0.00001
2-methyloctane;2.62641;0.11909
3-methyloctane;1.93241;0.05948
4-methyloctane;1.93351;0.05957
2,2,3,3-tetramethylpentane;10.99091;0.83761
2,2,3,4-tetramethylpentane;10.20976;0.77051
2,3,3,4-tetramethylpentane;9.60848;0.71886
2,2,4,4-tetramethylpentane;12.88136;1.00000
2,2,5-trimethylhexane;9.07069;0.67266
2,2,3-trimethylhexane;7.88794;0.57106
2,3,5-trimethylhexane;6.88896;0.48525
3,3,4-trimethylhexane;6.78388;0.47622
2,3,4-trimethylhexane;5.88965;0.39941
2,4,4-trimethylhexane;7.96669;0.57783
2,3,3-trimethylhexane;7.48086;0.53609
2,2,4-trimethylhexane;8.38424;0.61369
3,3-dimethyloctane;5.30245;0.32578
4,5-dimethyloctane;3.53677;0.18452
3,6-dimethyloctane;3.84666;0.20931
3,5-dimethyloctane;3.84264;0.20899
4,4-dimethyloctane;5.30138;0.32569
3,4-dimethyloctane;3.53648;0.18449
2,7-dimethyloctane;5.21549;0.31882
2,6-dimethyloctane;4.53183;0.26413
2,5-dimethyloctane;4.53269;0.26419
2,3-dimethyloctane;4.22863;0.23987
2,2-dimethyloctane;6.39562;0.41324
2,4-dimethyloctane;4.53256;0.26418
3-ethyl-2,2,3-trimethylpentane;9.81834;0.68707
3-ethyl-2,2,4-trimethylpentane;9.45254;0.65781
4-ethyl-2,2-dimethylhexane;7.63535;0.51242
3-ethyl-2,2-dimethylhexane;7.14583;0.47326
3-ethyl-2,3,4-trimethylpentane;8.45241;0.57779
4-ethyl-2,3-dimethylhexane;5.16202;0.31454
3-ethyl-2,3-dimethylhexane;6.32786;0.40782
4-ethyl-2,4-dimethylhexane;6.81598;0.44687
3-ethyl-2,4-dimethylhexane;5.15671;0.31412
3-ethyl-2,5-dimethylhexane;6.15224;0.39377
4-ethyl-2-methylheptane;3.84432;0.20912
5-ethyl-2-methylheptane;3.84414;0.20911
3-ethyl-2-methylheptane;3.53762;0.18458
4-ethyl-3,3-dimethylhexane;6.05381;0.38589
3-ethyl-3,4-dimethylhexane;5.64057;0.35283
4-ethyl-3-methylheptane;2.85170;0.12971
3-ethyl-3-methylheptane;4.20528;0.23800
3-ethyl-4-methylheptane;2.85180;0.12972
4-ethyl-4-methylheptane;4.20315;0.23783
3-ethyl-5-methylheptane;3.15593;0.15405
4-ethyloctane;1.23049;0.00000
3-ethyloctane;1.23155;0.00009
3-isopropyl-2-methylhexane;5.84934;0.36953
4-isopropylheptane;3.53771;0.18459
3-methylnonane;1.91989;0.05516
2-methylnonane;2.60783;0.11020
4-methylnonane;1.91862;0.05506
5-methylnonane;1.91982;0.05515
2,2,3,4,4-pentamethylpentane;13.72970;1.00000
