Name;SMILES
3,3-dimethylpentane;CCC(C)(C)CC
2,2-dimethylpentane;CCCC(C)(C)C
2,4-dimethylpentane;CC(C)CC(C)C
2,3-dimethylpentane;CCC(C)C(C)C
3-ethylpentane;CCC(CC)CC
3-methylhexane;CCCC(C)CC
2-methylhexane;CCCCC(C)C
2,2,3-trimethylbutane;CC(C)C(C)(C)C
3,4-dimethylhexane;CCC(C)C(C)CC
3,3-dimethylhexane;CCCC(C)(C)CC
2,5-dimethylhexane;CC(C)CCC(C)C
2,2-dimethylhexane;CCCCC(C)(C)C
2,3-dimethylhexane;CCCC(C)C(C)C
2,4-dimethylhexane;CCC(C)CC(C)C
3-ethyl-2-methylpentane;CCC(CC)C(C)C
3-ethylhexane;CCCC(CC)CC
3-methyl-3-ethylpentane;CCC(C)(CC)CC
2-methylheptane;CCCCCC(C)C
4-methylheptane;CCCC(C)CCC
3-methylheptane;CCCCC(C)CC
2,2,3,3-tetramethylbutane;CC(C)(C)C(C)(C)C
2,2,3-trimethylpentane;CCC(C)C(C)(C)C
2,3,3-trimethylpentane;CCC(C)(C)C(C)C
2,3,4-trimethylpentane;CC(C)C(C)C(C)C
2,2,4-trimethylpentane;CC(C)CC(C)(C)C
3,3-diethylpentane;CCC(CC)(CC)CC
2,2-dimethyl-3-ethylpentane;CCC(CC)C(C)(C)C
2,4-dimethyl-3-ethylpentane;CCC(C(C)C)C(C)C
2,3-dimethyl-3-ethylpentane;CCC(C)(CC)C(C)C
2,5-dimethylheptane;CCC(C)CCC(C)C
2,6-dimethylheptane;CC(C)CCCC(C)C
3,4-dimethylheptane;CCCC(C)C(C)CC
3,5-dimethylheptane;CCC(C)CC(C)CC
2,3-dimethylheptane;CCCCC(C)C(C)C
2,4-dimethylheptane;CCCC(C)CC(C)C
4,4-dimethylheptane;CCCC(C)(C)CCC
2,2-dimethylheptane;CCCCCC(C)(C)C
3-ethyl-2-methylhexane;CCCC(CC)C(C)C
4-ethyl-2-methylhexane;CCC(CC)CC(C)C
3-ethyl-3-methylhexane;CCCC(C)(CC)CC
3-ethyl-4-methylhexane;CCC(C)C(CC)CC
4-ethylheptane;CCCC(CC)CCC
3-ethylheptane;CCCCC(CC)CC
2-methyloctane;CCCCCCC(C)C
3-methyloctane;CCCCCC(C)CC
4-methyloctane;CCCCC(C)CCC
2,2,3,3-tetramethylpentane;CCC(C)(C)C(C)(C)C
2,2,3,4-tetramethylpentane;CC(C)C(C)C(C)(C)C
2,3,3,4-tetramethylpentane;CC(C)C(C)(C)C(C)C
2,2,4,4-tetramethylpentane;CC(C)(C)CC(C)(C)C
2,2,5-trimethylhexane;CC(C)CCC(C)(C)C
2,2,3-trimethylhexane;CCCC(C)C(C)(C)C
2,3,5-trimethylhexane;CC(C)CC(C)C(C)C
3,3,4-trimethylhexane;CCC(C)C(C)(C)CC
2,3,4-trimethylhexane;CCC(C)C(C)C(C)C
2,4,4-trimethylhexane;CCC(C)(C)CC(C)C
2,3,3-trimethylhexane;CCCC(C)(C)C(C)C
2,2,4-trimethylhexane;CCC(C)CC(C)(C)C
3,3-dimethyloctane;CCCCCC(C)(C)CC
4,5-dimethyloctane;CCCC(C)C(C)CCC
3,6-dimethyloctane;CCC(C)CCC(C)CC
3,5-dimethyloctane;CCCC(C)CC(C)CC
4,4-dimethyloctane;CCCCC(C)(C)CCC
3,4-dimethyloctane;CCCCC(C)C(C)CC
2,6-dimethyloctane;CCC(C)CCCC(C)C
2,5-dimethyloctane;CCCC(C)CCC(C)C
2,3-dimethyloctane;CCCCCC(C)C(C)C
2,2-dimethyloctane;CCCCCCC(C)(C)C
2,4-dimethyloctane;CCCCC(C)CC(C)C
3-ethyl-2,2,3-trimethylpentane;CCC(C)(CC)C(C)(C)C
3-ethyl-2,2,4-trimethylpentane;CCC(C(C)C)C(C)(C)C
4-ethyl-2,2-dimethylhexane;CCC(CC)CC(C)(C)C
3-ethyl-2,2-dimethylhexane;CCCC(CC)C(C)(C)C
3-ethyl-2,3,4-trimethylpentane;CCC(C)(C(C)C)C(C)C
4-ethyl-2,3-dimethylhexane;CCC(CC)C(C)C(C)C
3-ethyl-2,3-dimethylhexane;CCCC(C)(CC)C(C)C
4-ethyl-2,4-dimethylhexane;CCC(C)(CC)CC(C)C
3-ethyl-2,4-dimethylhexane;CCC(C)C(CC)C(C)C
3-ethyl-2,5-dimethylhexane;CCC(CC(C)C)C(C)C
4-ethyl-2-methylheptane;CCCC(CC)CC(C)C
5-ethyl-2-methylheptane;CCC(CC)CCC(C)C
3-ethyl-2-methylheptane;CCCCC(CC)C(C)C
4-ethyl-3,3-dimethylhexane;CCC(CC)C(C)(C)CC
3-ethyl-3,4-dimethylhexane;CCC(C)C(C)(CC)CC
4-ethyl-3-methylheptane;CCCC(CC)C(C)CC
3-ethyl-3-methylheptane;CCCCC(C)(CC)CC
3-ethyl-4-methylheptane;CCCC(C)C(CC)CC
4-ethyl-4-methylheptane;CCCC(C)(CC)CCC
3-ethyl-5-methylheptane;CCC(C)CC(CC)CC
4-ethyloctane; CCCCC(CC)CCC
3-ethyloctane;CCCCCC(CC)CC
3-isopropyl-2-methylhexane;CCCC(C(C)C)C(C)C
4-isopropylheptane;CCCC(CCC)C(C)C
3-methylnonane;CCCCCCC(C)CC
2-methylnonane;CCCCCCCC(C)C
4-methylnonane;CCCCCC(C)CCC
5-methylnonane;CCCCC(C)CCCC
2,2,3,4,4-pentamethylpentane;CC(C(C)(C)C)C(C)(C)C
2,2,3,3,4-pentamethylpentane;CC(C)C(C)(C)C(C)(C)C
4-propylheptane;CCCC(CCC)CCC
2,2,4,5-tetramethylhexane;CC(C)C(C)CC(C)(C)C
2,2,4,4-tetramethylhexane;CCC(C)(C)CC(C)(C)C
2,2,3,3-tetramethylhexane;CCCC(C)(C)C(C)(C)C
2,2,3,4-tetramethylhexane;CCC(C)C(C)C(C)(C)C
3,3,4,4-tetramethylhexane;CCC(C)(C)C(C)(C)CC
2,3,4,4-tetramethylhexane;CCC(C)(C)C(C)C(C)C
2,3,3,5-tetramethylhexane;CC(C)CC(C)(C)C(C)C
2,3,3,4-tetramethylhexane;CCC(C)C(C)(C)C(C)C
2,3,4,5-tetramethylhexane;CC(C)C(C)C(C)C(C)C
2,2,5,5-tetramethylhexane;CC(C)(C)CCC(C)(C)C
2,2,3,5-tetramethylhexane;CC(C)CC(C)C(C)(C)C
