nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
7;-0.00391;1.00000;100.204;540.26;27.36;4.32E-04;232.49;0.263;0.351;269.26;182.57;44.60;-5.7782;805.87;0.0134;-1.48E-05;0.2324;0.2602;0.2791;65.0260;-3818.80;-21.6840;1.0387E-02;1.0206E-14;101.121;0.9774;-3.0712E-03;4.1844E-06;0.2052;-2.1126E-04;-1.9574E-07;49.730;0.386;53.640;1.2431;53.50
8;-0.00442;1.00000;114.231;568.83;24.86;4.92E-04;232.18;0.259;0.396;286.48;216.38;44.48;-5.9245;888.09;0.0130;-1.36E-05;0.2281;0.2548;0.2694;29.0950;-3011.40;-7.2653;-2.2696E-11;1.4680E-06;82.736;1.3043;-3.8254E-03;4.6459E-06;0.1996;-1.7706E-04;-1.9969E-07;59.077;0.439;52.036;1.2168;58.20
9;-0.00328;1.00000;128.258;595.65;23.06;5.48E-04;234.48;0.255;0.438;304.26;219.63;44.39;-6.0742;968.61;0.0127;-1.27E-05;0.3702;0.3939;0.5026;8.8817;-2804.20;1.5262;-1.0464E-02;5.7972E-06;98.040;1.3538;-3.8058E-03;4.4991E-06;0.1927;-1.4328E-04;-1.9841E-07;59.378;0.377;55.400;1.3027;60.90
10;-0.00362;1.00000;142.285;618.45;21.23;6.03E-04;235.96;0.249;0.484;319.26;243.49;44.31;-6.0716;1017.70;0.0122;-1.19E-05;0.2328;0.2524;0.2857;26.5120;-3358.40;-6.1174;-3.3225E-10;4.8554E-07;79.741;1.6926;-4.5287E-03;4.9769E-06;0.1860;-1.1813E-04;-1.9797E-07;71.428;0.451;55.777;1.3198;65.50
11;-0.00396;1.00000;156.312;638.76;19.80;6.89E-04;226.87;0.257;0.535;338.15;247.57;44.25;-6.7868;1168.20;0.0134;-1.23E-05;0.2314;0.2500;0.2857;59.1084;-5031.40;-17.3722;7.0680E-09;4.1055E-06;94.169;1.7806;-4.6303E-03;4.9675E-06;0.1812;-6.6682E-05;-2.2435E-07;73.511;0.413;55.723;1.3237;71.12
12;-0.00430;1.00000;170.338;658.20;18.24;7.27E-04;234.63;0.242;0.573;347.04;263.57;44.21;-7.0687;1253.00;0.0137;-1.22E-05;0.2340;0.2518;0.2896;-5.6532;-3469.80;9.0272;-2.3185E-02;1.1235E-05;84.485;2.0358;-5.0981E-03;5.2186E-06;0.2494;-4.8069E-04;3.5399E-07;77.166;0.407;55.717;1.3325;73.40
13;-0.00464;1.00000;184.365;675.80;17.23;7.70E-04;239.44;0.236;0.619;352.04;267.76;44.17;-7.2994;1324.80;0.0140;-1.21E-05;0.2377;0.2504;0.3120;49.2390;-4964.90;-13.7690;-2.1146E-09;2.5902E-06;85.027;2.2008;-5.3677E-03;5.4016E-06;0.1724;-5.8235E-05;-1.9355E-07;81.877;0.416;55.610;1.3363;82.63
14;-0.00498;1.00000;198.392;692.40;16.21;8.43E-04;235.62;0.237;0.662;373.15;279.01;44.13;-7.8717;1446.70;0.0149;-1.25E-05;0.2356;0.2559;0.2735;106.1100;-7346.10;-35.1950;1.2356E-02;-8.3950E-13;111.814;2.2092;-5.2555E-03;5.0865E-06;0.1705;-5.9209E-05;-1.8118E-07;86.885;0.418;56.436;1.3658;85.10
15;-0.00266;1.00000;212.419;706.80;15.20;8.80E-04;241.39;0.228;0.705;382.04;283.11;44.10;-7.8643;1479.80;0.0147;-1.21E-05;0.3052;0.3184;0.3979;116.5200;-8041.00;-38.7990;1.3398E-02;-4.4444E-13;94.014;2.4973;-5.8025E-03;5.5554E-06;0.1829;-9.5410E-05;-1.5528E-07;91.667;0.419;56.547;1.3710;91.54
16;-0.00283;1.00000;226.446;720.60;14.19;9.30E-04;243.49;0.220;0.747;392.04;291.34;44.08;-8.1894;1557.10;0.0153;-1.24E-05;0.2435;0.2544;0.3238;99.1090;-7533.30;-32.2510;1.0453E-02;1.2328E-12;89.101;2.7062;-6.1478E-03;5.7520E-06;0.1890;-1.2226E-04;-1.3059E-07;96.680;0.422;56.990;1.3929;100.00
